Draft Year,Round,Pick,Team,Player,Postion,College,Conference,Notes/Trades
2018,6,200,Atlanta Falcons,Foyesade Oluokun ,S,Yale,Ivy,
2018,6,201,New Orleans Saints,Boston Scott ,RB,Louisiana Tech,C-USA,
2018,6,202,Tampa Bay Buccaneers,Jack Cichy ,LB,Wisconsin,Big Ten,from Pittsburgh via Cleveland and Pittsburgh [R6 - 16]
2018,6,203,Jacksonville Jaguars,Tanner Lee ,QB,Nebraska,Big Ten,
2018,6,204,New York Jets,Trenton Cannon ,RB,Virginia State,CIAA,from Minnesota [R6 - 17]
2018,6,205,Los Angeles Rams,Trevon Young ,DE,Louisville,ACC,from New England via Cleveland and Washington [R6 - 18]
2018,6,206,Philadelphia Eagles,Matt Pryor ,OT,TCU,Big 12,
2018,6,207,Green Bay Packers,Equanimeous St. Brown ,WR,Notre Dame,Ind. (FBS),
2018,6,208,Dallas Cowboys,Cedrick Wilson Jr. ,WR,Boise State,MW,
2018,6,209,Miami Dolphins,Cornell Armstrong ,CB,Southern Miss,C-USA,from Kansas City via LA Rams [R6 - 19]
2018,6,210,New England Patriots,Braxton Berrios ,WR,Miami (FL),ACC,from Oakland [R6 - 20]
2018,6,211,Houston Texans,Jordan Thomas ,TE,Mississippi State,SEC,
2018,6,212,Baltimore Ravens,Greg Senat ,OT,Wagner,NEC,from Oakland [R6 - 21]
2018,6,213,Minnesota Vikings,Colby Gossett ,G,Appalachian State,Sun Belt,
2018,6,214,Houston Texans,Peter Kalambayi ,LB,Stanford,Pac-12,
2018,6,215,Baltimore Ravens,Bradley Bozeman ,C,Alabama,SEC,from Baltimore via Tennessee [R6 - 22]
2018,6,216,Oakland Raiders,Azeem Victor ,LB,Washington,Pac-12,
2018,6,217,Denver Broncos,Keishawn Bierria ,LB,Washington,Pac-12,from Oakland via LA Rams [R6 - 23]
2018,6,218,Minnesota Vikings,Ade Aruna ,DE,Tulane,The American,
2018,7,219,New England Patriots,Danny Etling ,QB,LSU,SEC,from Cleveland [R7 - 1]
2018,7,220,Seattle Seahawks,Alex McGough ,QB,Florida International,C-USA,from NY Giants via Pittsburgh [R7 - 2]
2018,7,221,Indianapolis Colts,Matthew Adams ,LB,Houston,The American,
2018,7,222,Houston Texans,Jermaine Kelly ,CB,San Jose State,MW,
2018,7,223,San Francisco 49ers,Jullian Taylor ,DT,Temple,The American,from Tampa Bay via Miami [R7 - 3]
2018,7,224,Chicago Bears,Javon Wims ,WR,Georgia,SEC,
2018,7,225,Minnesota Vikings,Devante Downs ,LB,California,Pac-12,from Denver via Minnesota and NY Jets [R7 - 4]
2018,7,226,Denver Broncos,David Williams ,RB,Arkansas,SEC,from NY Jets via Seattle [R7 - 5]
2018,7,227,Miami Dolphins,Quentin Poling ,LB,Ohio,MAC,from San Francisco [R7 - 6]
2018,7,228,Oakland Raiders,Marcell Ateman ,WR,Oklahoma State,Big 12,
2018,7,229,Miami Dolphins,Jason Sanders ,K,New Mexico,MW,
2018,7,230,Jacksonville Jaguars,Leon Jacobs ,LB,Wisconsin,Big Ten,from Cincinnati [R7 - 7]
2018,7,231,Los Angeles Rams,Travin Howard ,LB,TCU,Big 12,from Washington [R7 - 8]
2018,7,232,Green Bay Packers,James Looney ,DE,California,Pac-12,
2018,7,233,Philadelphia Eagles,Jordan Mailata ,OT, , ,from Arizona via Kansas City and New England [R7 - 9]
2018,7,234,Carolina Panthers,Andre Smith ,LB,North Carolina,ACC,from LA Chargers via Buffalo [R7 - 10]
2018,7,235,Indianapolis Colts,Zaire Franklin ,LB,Syracuse,ACC,from Seattle via NY Jets [R7 - 11]
2018,7,236,Dallas Cowboys,Bo Scarbrough ,RB,Alabama,SEC,
2018,7,237,Detroit Lions,Nick Bawden ,FB,San Diego State,MW,
2018,7,238,Baltimore Ravens,Zach Sieler ,DE,Ferris State,GLIAC,from Arizona via Baltimore [R7 - 12]
2018,7,239,Green Bay Packers,Hunter Bradley ,LS,Mississippi State,SEC,from Buffalo [R7 - 13]
2018,7,240,San Francisco 49ers,Richie James ,WR,Middle Tennessee,C-USA,from Kansas City [R7 - 14]
2018,7,241,Washington Redskins,Greg Stroman ,CB,Virginia Tech,ACC,from LA Rams [R7 - 15]
2018,7,242,Carolina Panthers,Kendrick Norton ,DT,Miami (FL),ACC,
2018,7,243,New England Patriots,Keion Crossen ,CB,Western Carolina,SoCon,from Tennessee via Kansas City [R7 - 16]
2018,7,244,Los Angeles Rams,Justin Lawler ,DE,SMU,The American,from Atlanta [R7 - 17]
2018,7,245,New Orleans Saints,Will Clapp ,C,LSU,SEC,
2018,7,246,Pittsburgh Steelers,Joshua Frazier ,DT,Alabama,SEC,
2018,7,247,Jacksonville Jaguars,Logan Cooke ,P,Mississippi State,SEC,
2018,7,248,Green Bay Packers,Kendall Donnerson ,LB,Southeast Missouri State,OVC,from Seattle via Minnesota [R7 - 18]
2018,7,249,Cincinnati Bengals,Logan Woodside ,QB,Toledo,MAC,from New England [R7 - 19]
2018,7,250,New England Patriots,Ryan Izzo ,TE,Florida State,ACC,"from Philadelphia via Seattle, New England, Seattle, and Philadelphia [R7 - 20]"
2018,7,251,Los Angeles Chargers,Justin Jackson ,RB,Northwestern,Big Ten,
2018,7,252,Cincinnati Bengals,Rod Taylor ,G,Ole Miss,SEC,
2018,7,253,Cincinnati Bengals,Auden Tate ,WR,Florida State,ACC,
2018,7,254,Arizona Cardinals,Korey Cunningham ,OT,Cincinnati,The American,
2018,7,255,Buffalo Bills,Austin Proehl ,WR,North Carolina,ACC,from Tampa Bay [R7 - 21]
2018,7,256,Washington Redskins,Trey Quinn ,WR,SMU,The American,from Atlanta via LA Rams [R7 - 22]
